FileName,EmoAct,EmoVal,EmoDom
MSP-PODCAST_6680_0327.wav,3.6,3.4,3.8
MSP-PODCAST_5538_0275.wav,2.2,4.0,3.0
MSP-PODCAST_6614_0858.wav,4.2,3.4,3.4
MSP-PODCAST_6447_0755.wav,2.4,3.6,3.6
MSP-PODCAST_2409_0189.wav,3.0,3.0,3.0
MSP-PODCAST_2526_0345.wav,2.0,4.6,3.8
MSP-PODCAST_0163_0222.wav,3.833333,4.166667,4.5
MSP-PODCAST_0125_0038.wav,4.4,4.8,4.4
MSP-PODCAST_2738_0971.wav,3.6,3.8,3.8
MSP-PODCAST_0830_0521_0004.wav,4.2,4.4,4.8
MSP-PODCAST_2791_0421.wav,3.8,3.2,4.8
MSP-PODCAST_5988_0107.wav,5.6,3.8,5.6
MSP-PODCAST_1750_0270.wav,3.4,3.4,4.0
MSP-PODCAST_5946_0165.wav,4.2,4.0,4.2
MSP-PODCAST_0300_0536.wav,4.4,3.2,4.2
MSP-PODCAST_2426_0086.wav,4.2,3.8,4.2
MSP-PODCAST_6673_0166.wav,2.6,4.4,4.6
MSP-PODCAST_5176_0366.wav,4.2,3.0,4.6
MSP-PODCAST_5677_0427.wav,2.8,4.0,3.6
MSP-PODCAST_6127_0237.wav,4.2,4.0,5.0
MSP-PODCAST_1451_0070_0010.wav,3.6,3.8,4.6
MSP-PODCAST_2396_0055.wav,2.0,4.0,1.0
MSP-PODCAST_2343_0613.wav,5.0,3.6,4.8
MSP-PODCAST_2740_0153.wav,3.4,4.0,3.6
MSP-PODCAST_5718_0456.wav,3.6,4.2,4.0
MSP-PODCAST_5718_0562.wav,3.2,4.4,4.2
MSP-PODCAST_0766_0345.wav,3.8,4.4,4.2
MSP-PODCAST_1650_0047_0070.wav,3.4,3.6,4.2
MSP-PODCAST_3128_0853.wav,2.8,3.8,3.0
MSP-PODCAST_6563_0131.wav,3.4,3.6,4.6
MSP-PODCAST_0239_0524.wav,3.6,4.4,4.4
MSP-PODCAST_2450_0075.wav,4.6,4.4,4.2
MSP-PODCAST_0899_0079.wav,4.5,4.333333,4.5
MSP-PODCAST_0222_0145.wav,3.4,4.4,4.6
MSP-PODCAST_5525_0061.wav,3.0,3.8,4.4
MSP-PODCAST_0140_0161.wav,4.0,4.8,5.0
MSP-PODCAST_2734_0677.wav,3.0,4.0,3.5
MSP-PODCAST_5677_0642.wav,2.8,3.8,3.4
MSP-PODCAST_2347_1102.wav,3.4,3.6,4.6
MSP-PODCAST_3115_1119.wav,4.6,3.2,4.4
MSP-PODCAST_4288_0046_0003.wav,4.2,4.0,4.6
MSP-PODCAST_5635_2301.wav,3.6,3.6,3.4
MSP-PODCAST_6727_0548_0002.wav,3.0,4.0,4.0
MSP-PODCAST_0537_0155.wav,3.2,3.2,4.2
MSP-PODCAST_0401_0554.wav,3.2,4.0,3.0
MSP-PODCAST_5972_2056.wav,4.6,3.8,5.6
MSP-PODCAST_6586_0092.wav,2.4,3.2,3.4
MSP-PODCAST_1757_0008.wav,3.8,4.6,4.2
MSP-PODCAST_0756_0291.wav,5.4,3.8,5.8
MSP-PODCAST_0672_0231_0002.wav,3.0,3.6,3.4
MSP-PODCAST_2403_0703.wav,3.4,3.6,3.2
MSP-PODCAST_3113_1123.wav,3.4,4.4,4.0
MSP-PODCAST_5596_0313.wav,3.0,3.4,3.8
MSP-PODCAST_5937_0439.wav,4.4,3.4,5.0
MSP-PODCAST_6727_0458_0003.wav,2.2,3.6,2.8
MSP-PODCAST_5980_2041.wav,2.0,4.2,4.2
MSP-PODCAST_6022_0181.wav,3.6,3.4,4.4
MSP-PODCAST_2205_0276_0000.wav,3.4,4.6,4.6
MSP-PODCAST_3117_0423.wav,3.6,3.8,3.4
MSP-PODCAST_1542_0003_0091.wav,3.2,4.4,4.2
MSP-PODCAST_2395_0160.wav,4.0,3.0,3.0
MSP-PODCAST_3108_0610.wav,2.0,2.8,2.4
MSP-PODCAST_6022_0378.wav,4.2,4.2,4.4
MSP-PODCAST_1687_0120.wav,2.6,3.2,2.6
MSP-PODCAST_3110_0843.wav,3.4,3.2,2.4
MSP-PODCAST_0696_0481.wav,3.4,3.6,4.0
MSP-PODCAST_6447_0075.wav,4.0,3.8,3.8
MSP-PODCAST_3101_0051.wav,4.4,4.0,4.4
MSP-PODCAST_2668_0472.wav,3.8,3.4,4.6
MSP-PODCAST_2788_1649.wav,3.4,4.0,4.4
MSP-PODCAST_2400_0575.wav,4.0,3.0,4.0
MSP-PODCAST_0912_0243.wav,5.0,4.2,5.2
MSP-PODCAST_6269_0447.wav,4.2,4.0,4.4
MSP-PODCAST_2395_0583.wav,4.0,3.0,4.0
MSP-PODCAST_0174_0625.wav,4.583333,3.5,5.083333
MSP-PODCAST_5931_0740.wav,4.4,4.0,5.4
MSP-PODCAST_2394_0060.wav,4.0,3.0,3.0
MSP-PODCAST_5977_4629.wav,2.8,3.8,4.2
MSP-PODCAST_1652_0022_0028.wav,3.4,4.4,4.4
MSP-PODCAST_5242_0850.wav,5.0,4.6,5.0
MSP-PODCAST_2505_0467.wav,4.4,4.0,4.0
MSP-PODCAST_5492_1919.wav,5.2,3.4,5.0
MSP-PODCAST_0862_0045_0002.wav,2.8,3.4,4.6
MSP-PODCAST_3743_0017.wav,3.2,4.2,3.2
MSP-PODCAST_3451_0440_0000.wav,4.0,4.2,4.2
MSP-PODCAST_2390_0063.wav,3.0,3.0,4.0
MSP-PODCAST_6340_0034.wav,2.2,4.2,4.6
MSP-PODCAST_2352_1176.wav,2.0,4.0,1.0
MSP-PODCAST_3357_0509.wav,4.4,3.6,5.0
MSP-PODCAST_1688_0037_0012.wav,3.8,4.2,4.2
MSP-PODCAST_3673_0068.wav,4.2,4.6,4.4
MSP-PODCAST_5340_0231.wav,5.166667,3.5,5.166667
MSP-PODCAST_1890_0126.wav,3.8,3.4,4.6
MSP-PODCAST_2526_0473.wav,4.0,3.6,3.4
MSP-PODCAST_1416_0029_0003.wav,5.0,4.2,5.0
MSP-PODCAST_2447_0201.wav,4.6,4.6,4.2
