Directory,FileName,EmoClass,EmoInt,Statement,SpkrID,Gender
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-05-02-02-02-01.wav,A,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-08-02-02-02-01.wav,U,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-07-02-01-02-01.wav,D,strong,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-08-01-01-01-01.wav,U,normal,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-07-01-02-02-01.wav,D,normal,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-02-01-01-02-01.wav,N,normal,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-08-01-02-01-01.wav,U,normal,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-03-01-01-02-01.wav,H,normal,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-06-02-02-01-01.wav,F,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-03-02-02-01-01.wav,H,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-08-01-01-02-01.wav,U,normal,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-02-01-02-02-01.wav,N,normal,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-07-02-01-01-01.wav,D,strong,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-04-02-02-02-01.wav,S,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-02-02-02-01-01.wav,N,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-07-01-02-01-01.wav,D,normal,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-06-01-02-01-01.wav,F,normal,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-05-02-02-01-01.wav,A,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-01-01-01-02-01.wav,N,normal,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-07-01-01-01-01.wav,D,normal,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-06-02-01-02-01.wav,F,strong,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-07-02-02-02-01.wav,D,strong,2,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-03-01-01-01-01.wav,H,normal,1,1,Male
ravdess/Audio_Speech_Actors_01-24/Actor_01,03-01-04-01-02-01-01.wav,S,normal,2,1,Male
